B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
SO2 ,Italy , O/U Shotgun , 12 Gauge,,
SO3 ,Italy , O/U Shotgun , 20 Gauge; 12 Gauge,,
SO4 ,Italy , O/U Shotgun , 12 Gauge,,
SO5 ,Italy , O/U Shotgun , 12 Gauge,,
SO6 ,Italy , O/U Shotgun , 12 Gauge,,
SO9 ,Italy , O/U Shotgun , .410 Bore; 28 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Vandalia ,Italy , Single Shot Shotgun , 12 Gauge,,
12,Italy , Single Shot Shotgun,,,
13,Italy , Single Shot Shotgun,,,
22,Italy , Shotgun,,,
60,Italy , Semi,Auto Shotgun , 12 Gauge,
61,Italy , Semi,Auto Shotgun , 12 Gauge,
90,Italy , Single Shot Shotgun,,,
101,Italy , SxS Shotgun , 36 Gauge; 32 Gauge; 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
103,Italy , SxS Shotgun,,,
104,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge;12 Gauge,,
105,Italy , SxS Shotgun , 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
151,Italy , Pump Action Shotgun,,,
211,Italy , SxS Shotgun,,,
305,Italy , SxS Shotgun,,,
309,Italy , SxS Shotgun,,,
311,Italy , SxS Shotgun, 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
312,Italy , Single Shot Shotgun,,,
313,Italy , Single Shot Shotgun,,,
350,Italy , SxS Shotgun , 12 Gauge,,
401,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge;12 Gauge,,
402,Italy , SxS Shotgun,,,
403,Italy , SxS Shotgun , 32 Gauge; 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
404,Italy , SxS Shotgun , 16 Gauge;12 Gauge,,
405,Italy , SxS Shotgun,,,
409,Italy , SxS Shotgun , 20 Gauge,,
410,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
411,Italy , SxS Shotgun , 20 Gauge; 16 Gauge; 12 Gauge,,
412,Italy , Single Shot Shotgun,,,
413,Italy , Single Shot Shotgun,,,
414,Italy , Single Shot Shotgun , 9 mm Long Shot Rimfire,,
424,Italy , SxS Shotgun , 20 Gauge; 16 Gauge; 12 Gauge,,
425,Italy , SxS Shotgun , 12 Gauge,,
426,Italy , SxS Shotgun,,,
427,Italy , SxS Shotgun,,,
450,Italy , SxS Shotgun , 12 Gauge,,
451,Italy , SxS Shotgun , 12 Gauge,,
452,Italy , SxS Shotgun,,,
470,Italy , SxS Shotgun , 20 Gauge; 12 Gauge,,
625,Italy , SxS Shotgun,,,
626,Italy , SxS Shotgun,,,
627,Italy , SxS Shotgun,,,
680,Italy , O/U Shotgun , 12 Gauge,,
682,Italy , O/U Shotgun , 12 Gauge,,
686,Italy , O/U Shotgun , 28 Gauge; 20 Gauge; 12 Gauge,,
687,Italy , O/U Shotgun , .410 Bore; 28 Gauge; 20 Gauge; 12 Gauge,,
922,Italy , SxS Shotgun,,,
930,Italy , Single Shot Shotgun , 10 Gauge,,
1009,Italy , SxS Shotgun,,,
1010,Italy , SxS Shotgun , 24 Gauge; 20 Gauge; 16 Gauge;12 Gauge,,
1011,Italy , SxS Shotgun,,,
1012,Italy , Single Shot Shotgun,,,
1013,Italy , Single Shot Shotgun,,,
1050,Italy , SxS Shotgun,,,
1200,Italy , Semi,Auto Shotgun , 12 Gauge,
1200F ,Italy , Semi,Auto Shotgun , 12 Gauge,
1200FP ,Italy , Semi,Auto Shotgun , 12 Gauge,
1201,Italy , Semi,Auto Shotgun , 12 Gauge,
1200F ,Italy , Semi,Auto Shotgun , 12 Gauge,
1201FP3 ,Italy , Semi,Auto Shotgun , 12 Gauge,
1409,Italy , SxS Shotgun,,,
1930,Italy , SxS Shotgun , 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Beretta SMG,,,,,
M18 ,Italy , SMG , 9 × 19 mm Glisenti,,
M38 ,Italy , SMG , 9 × 19 mm Parabellum,,
M38A ,Italy , SMG , 9 × 19 mm Parabellum,,
MAB ,Italy , SMG , 9 × 19 mm Parabellum,,
M38/42 ,Italy , SMG , 9 × 19 mm Parabellum,,
M38/43 ,Italy , SMG , 9 × 19 mm Parabellum,,
M38/44 ,Italy , SMG , 9 × 19 mm Parabellum,,
