1873 Buntline Target
Austen Mk II,Australia,SMG,9 × 19 mm Parabellum
Austeyr F88,Australia,Assault Rifle,5.56x45mm NATO: Licensed Production
Australian International Arms M10-A2,Australia,Bolt Action Carbine,7.62 × 39 mm
Australian International Arms M42,Australia,Bolt Action Carbine,7.62 mm NATO
Australian International Arms No 4 Mk 4,Australia,Bolt Action Rifle,7.62 mm NATO
Australian International Arms No 4 Mk 4T,Australia,Bolt Action Rifle,7.62 mm NATO
Auto Mag,US,Pistol,.357 Automag, .41 Jurras Magnum,,.44 Automag
Thompson Autorifle(US,Rifle,
Thompson Light Rifle,US,Assault Rifle,.30 Carbine
Thompson submachine gun,US,SMG,.45 ACP
AVB-7.62,Russia,Battle Rifle , LMG,7.62 × 54 mm
AWC 10,22 Ultra II,US,Semi-Auto Rifle,.22 LR: Integrally Suppressed Ruger 10,22
AWC Amphibian II,US,Pistol,.22 LR: Integrally Suppressed Ruger Mk 2
AWC Centurion,US,Bolt Action Rifle: Integrally Suppressed
AWC G2,US,Rifle,7.62 mm NATO: Bullpup Conversion of Springfield M1A,M14
